0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:25:08 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:25:08 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:25:38 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:25:38 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:26:35 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:26:35 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:26:59 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:26:59 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:27:00 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:27:00 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:27:33 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:27:33 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:28:25 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:28:25 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:28:26 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:28:26 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:28:37 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:28:37 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:28:49 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:28:49 +0100] "GET /web-noSQL/webpages/bbr.css HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [28/Jun/2017:23:29:42 +0100] "GET /web-noSQL/webpages/index.jsp HTTP/1.1" 200 848
